#File generated by ModelExp v0.7.5
#Read datafile: ../mftFiles/DD205_4_5K_-100mT_d.mft
#Read datafile: ../mftFiles/DD205_4_5K_-100mT_u.mft
#Started Fit at 2019-07-05 19:32:12.227368
#Finished Fit at 2019-07-05 19:32:12.286621
#[[Fit Statistics]]
#    # fitting method   = leastsq
#    # function evals   = 7
#    # data points      = 344
#    # variables        = 1
#    chi-square         = 14.7274672
#    reduced chi-square = 0.04293722
#    Akaike info crit   = -1081.91902
#    Bayesian info crit = -1078.07838
#[[Variables]]
#    i0:                      1.0335 (fixed)
#    bg:                      1.4e-07 (fixed)
#    roughnessSubstrate:      20.04093 (fixed)
#    roughnessSpacer:         23.52775 (fixed)
#    roughnessShellCube:      14.57008 (fixed)
#    roughnessCubeShell:      22.31623 (fixed)
#    roughnessShellAir:       8.4 (fixed)
#    a:                       93.8 (fixed)
#    sigA:                    0 (fixed)
#    packingDensity:          0.5000622 (fixed)
#    sldSubstrate:            2.079e-06 (fixed)
#    sldCore:                 6.194e-06 (fixed)
#    sldSpacer:               4.186e-06 (fixed)
#    sldShellLower:           7.8e-08 (fixed)
#    sldShellTop:             7.8e-08 (fixed)
#    thicknessSpacer:         24.25735 (fixed)
#    thicknessShellLower:     36.60112 (fixed)
#    thicknessShellTop:       39.6 (fixed)
#    coverage:                1 (fixed)
#    orderHermite:            10 (fixed)
#    magSldCore:              6.0000e-07 +/- 3.4912e-08 (5.82%) (init = 5.95e-07)
#    polarization_p:          1 (fixed)
#    polarizationEfficiency:  1 (fixed)
#    gamma:                   0 (fixed)
#    polarization_m:         -1 (fixed)

#[[Data]] p
#q / A-1	I / cm-1	sI / cm-1	Imodel / cm-1
0.00450798	0.984236	0.160896	1.03350014
0.00455804	1.107	0.165891	1.03350014
0.00460922	1.14563	0.161105	1.0335001400000001
0.00466157	1.04123	0.147599	1.03350014
0.00471513	0.912511	0.13069	1.0335001399999997
0.00476992	0.915696	0.125332	1.0335001400000001
0.00482601	1.00112	0.126035	1.03350014
0.00488343	1.0027	0.120634	1.0335001400000003
0.00494223	1.01211	0.116003	1.0335001400000001
0.00500247	0.984049	0.10897	1.0335001399999997
0.00506419	0.996979	0.103833	1.0335001400000001
0.00512745	1.03135	0.101188	1.0335001400000003
0.00519232	1.06391	0.0979338	1.0335001400000001
0.00525402	1.03147	0.0985437	1.03350014
0.00531231	0.98728	0.0910989	1.03350014
0.0053719	1.00559	0.0889751	1.03350014
0.00543285	1.00059	0.0856653	1.0335001400000001
0.0054952	1.01473	0.082434	1.0335001400000001
0.00555899	1.01116	0.0795518	1.0335001400000001
0.00562428	1.04939	0.0774141	1.03350014
0.00569113	1.04669	0.074374	1.03350014
0.00575958	0.988687	0.0694248	1.0335001400000001
0.0058297	0.912519	0.0641172	1.03350014
0.00590155	0.916709	0.0614126	1.03350014
0.00597519	0.971335	0.0607919	1.03350014
0.00605069	1.00973	0.0596805	1.03350014
0.00612813	1.00456	0.0572676	1.03350014
0.00620757	0.985873	0.0543226	1.03350014
0.0062891	0.991826	0.0521748	1.03350014
0.00636571	0.986336	0.054692	1.03350014
0.00643702	0.983192	0.0527095	1.0335001400000001
0.00650995	0.989196	0.051465	1.0335001400000001
0.00658454	1.0168	0.0505053	1.0335001400000001
0.00666087	1.02984	0.049148	1.0335001400000003
0.00673899	1.05274	0.0481132	1.0335001400000001
0.00681896	1.03383	0.0461875	1.0335001400000001
0.00690085	1.00067	0.0438283	1.0335001400000001
0.00698474	1.00293	0.0423541	1.03350014
0.00707068	1.01539	0.0411279	1.0335001400000001
0.00715877	1.01879	0.0398849	1.03350014
0.00724908	1.00367	0.038505	1.0335001400000001
0.0073417	1.01153	0.0375015	1.03350014
0.00743672	1.00014	0.0360967	1.03350014
0.00753423	0.990069	0.0347554	1.03350014
0.00763433	0.990972	0.0336007	1.03350014
0.00773712	1.0223	0.0331441	1.0335001399999997
0.00784272	1.04124	0.0323323	1.0335001399999997
0.00795125	1.04018	0.0311417	1.03350014
0.00806282	1.03806	0.0301356	1.03350014
0.00816589	1.03482	0.0326545	1.0335001400000001
